order,family,genus,species,brain_mass,body_mass,common_name
Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,1.06,50.05,Stuhlmann s Golden Mole
Afrosoricida,Tenrecidae,Microgale,cowani,0.42,15.2,Cowan's Shrew Tenrec
Afrosoricida,Tenrecidae,Microgale,dobsoni,0.56,32.6,Dobson's Shrew Tenrec
Afrosoricida,Tenrecidae,Oryzorictes,hova,0.58,44.2,Hova rice tenrec
Afrosoricida,Tenrecidae,Echinops,telfairi,0.62,87.5,Lesser Hedgehog Tenrec
Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,0.7,49,Cape Golden Mole
Afrosoricida,Tenrecidae,Microgale,talazaci,0.79,50.4,Talazac's Shrew Tenrec
Afrosoricida,Tenrecidae,Micropotamogale,lamottei,0.8,69.59,Nimba Otter Shrew
Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,0.83,110,Lowland Streaked Tenrec
Afrosoricida,Tenrecidae,Limnogale,mergulus,1.15,92,Web-footed Tenrec
Afrosoricida,Tenrecidae,Setifer,setosus,1.51,248,Greater Hedgehog Tenrec
Afrosoricida,Tenrecidae,Tenrec,ecaudatus,2.84,907,Tail-less Tenrec
Afrosoricida,Tenrecidae,Potamogale,velox,4.05,650,Giant Otter Shrew
Artiodactyla,Bovidae,Tragelaphus,scriptus,165,44225,Bushbuck
Artiodactyla,Cervidae,Rangifer,tarandus,278,71700,Reindeer
Artiodactyla,Bovidae,Syncerus,caffer,647.5,665440,African Buffalo
Artiodactyla,Cervidae,Odocoileus,virginianus,210,65090,White-tailed Deer
Artiodactyla,Bovidae,Damaliscus,pygargus,254.6,62500,Bontebok (see comments)
Artiodactyla,Bovidae,Tragelaphus,eurycerus,389,253000,Bongo
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,720,1351000,Common Hippopotamus
Artiodactyla,Bovidae,Tragelaphus,imberbis,219,145000,Lesser Kudu
Artiodactyla,Bovidae,Kobus,leche,222.7,123000,Lechwe
Artiodactyla,Bovidae,Tragelaphus,angasii,230,137000,Nyala
Artiodactyla,Camelidae,Lama,glama,264.2,90217,Guanaco
Artiodactyla,Bovidae,Hippotragus,niger,282,165000,Sable Antelope
Artiodactyla,Bovidae,Alcelaphus,buselaphus,284.9,114750,Hartebeest
Artiodactyla,Bovidae,Damaliscus,lunatus,290.6,111000,Common Tsessebe
Artiodactyla,Bovidae,Oryx,gazella,292,165000,Gemsbok
Artiodactyla,Bovidae,Tragelaphus,buxtoni,330,280000,Mountain Nyala
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,361,280000,Greater Kudu
Artiodactyla,Bovidae,Hippotragus,equinus,387.9,238375,Roan Antelope
Artiodactyla,Bovidae,Taurotragus,oryx,440,4e+05,Common Eland
Artiodactyla,Bovidae,Bos,taurus,452.8,46100,Aurochs
Artiodactyla,Bovidae,Bison,bison,458,431500,American Bison
Artiodactyla,Bovidae,Taurotragus,derbianus,534,9e+05,Derby Eland
Artiodactyla,Camelidae,Camelus,dromedarius,762,4e+05,Arabian Camel
Artiodactyla,Bovidae,Madoqua,kirkii,37,4570,Kirk's Dikdik
Artiodactyla,Bovidae,Eudorcas,thomsonii,91.8,24370,Thomson's Gazelle
Artiodactyla,Suidae,Phacochoerus,aethiopicus,125,65320,Desert Warthog
Artiodactyla,Bovidae,Aepyceros,melampus,175,57610,Impala
Artiodactyla,Cervidae,Axis,axis,219,88450,Axis deer
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,290,188200,Waterbuck
Artiodactyla,Bovidae,Connochaetes,taurinus,443,212230,Blue Wildebeest
Artiodactyla,Giraffidae,Giraffa,camelopardalis,700,1209000,Giraffe
Artiodactyla,Tragulidae,Tragulus,javanicus,15.8,2037,Java Mouse-deer
Artiodactyla,Tragulidae,Moschiola,meminna,16.93,1997,Indian Spotted Chevrotain
Artiodactyla,Tragulidae,Tragulus,napu,18.5,2510,Greater Mouse-deer
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,25.2,10800,Water Chevrotain
Artiodactyla,Bovidae,Neotragus,moschatus,32,3250,Suni
Artiodactyla,Bovidae,Philantomba,maxwellii,38,3357,Maxwell's Duiker
Artiodactyla,Bovidae,Philantomba,monticola,48,5650,Blue Duiker
Artiodactyla,Bovidae,Raphicerus,campestris,51.3,10200,Steenbok
Artiodactyla,Cervidae,Hydropotes,inermis,52,11300,Chinese Water Deer
Artiodactyla,Bovidae,Raphicerus,melanotis,55,10100,Cape Grysbok
Artiodactyla,Cervidae,Mazama,americana,56,3500,South American Red Brocket
Artiodactyla,Bovidae,Ourebia,ourebi,58.3,14617,Oribi
Artiodactyla,Bovidae,Oreotragus,oreotragus,59.4,11000,Klipspringer
Artiodactyla,Bovidae,Gazella,dorcas,70.8,17275,Dorcas Gazelle
Artiodactyla,Bovidae,Sylvicapra,grimmia,77.2,12625,Bush Duiker
Artiodactyla,Bovidae,Cephalophus,zebra,83,10000,Zebra Duiker
Artiodactyla,Bovidae,Cephalophus,natalensis,84.1,12500,Natal duiker
Artiodactyla,Bovidae,Cephalophus,nigrifrons,85,13650,Black-fronted Duiker
Artiodactyla,Cervidae,Capreolus,capreolus,92.7,17472,European Roe
Artiodactyla,Bovidae,Cephalophus,dorsalis,92.897,19998.6187,Bay Duier
Artiodactyla,Bovidae,Cephalophus,leucogaster,93,13000,White-bellied Duiker
Artiodactyla,Tayassuidae,Pecari,tajacu,101.5,18309,Collared Peccary
Artiodactyla,Bovidae,Redunca,fulvorufula,109,31000,Mountain Reedbuck
Artiodactyla,Bovidae,Antilope,cervicapra,110.8,28800,Blackbuck
Artiodactyla,Bovidae,Capra,hircus,115,27660,Goat
Artiodactyla,Bovidae,Litocranius,walleri,117.5,39750,Gerenuk
Artiodactyla,Bovidae,Rupicapra,rupicapra,117.8,27167,Alpine Chamois
Artiodactyla,Bovidae,Pelea,capreolus,121,24000,Vaal Rhebok
Artiodactyla,Bovidae,Redunca,redunca,123,47500,Bohar reedbuck
Artiodactyla,Cervidae,Muntiacus,muntjak,124.5,16600,Indian muntjac
Artiodactyla,Antilocapridae,Antilocapra,americana,125.6,46750,Pronghorn
Artiodactyla,Suidae,Babyrousa,babyrussa,127,78000,Buru Babirusa
Artiodactyla,Suidae,Phacochoerus,africanus,132.5,67000,Common Wart-hog
Artiodactyla,Bovidae,Antidorcas,marsupialis,135,36518,Springbok
Artiodactyla,Bovidae,Redunca,arundinum,136.8,38200,Southern Reedbuck
Artiodactyla,Suidae,Potamochoerus,porcus,138,75000,Red River Hog
Artiodactyla,Bovidae,Nanger,granti,139,40500,Grant's Gazelle
Artiodactyla,Bovidae,Ovis,ammon,140,55000,Argali
Artiodactyla,Suidae,Hylochoerus,meinertzhageni,141,2e+05,Giant Forest Hog
Artiodactyla,Cervidae,Axis,porcinus,142,30000,Hog Deer
Artiodactyla,Bovidae,Tragelaphus,spekii,145,42000,Sitatunga
Artiodactyla,Tayassuidae,Tayassu,pecari,145.8,32233.33,White-lipped Peccary
Artiodactyla,Bovidae,Nanger,dama,150,60000,Dama Gazelle
Artiodactyla,Bovidae,Hemitragus,jemlahicus,166,70000,Himalayan Tahr
Artiodactyla,Suidae,Sus,scrofa,169.8,86772.73,Wild Boar
Artiodactyla,Bovidae,Cephalophus,silvicultor,170,43000,Yellow-backed Duiker
Artiodactyla,Bovidae,Ovis,aries,175,55500,Red Sheep
Artiodactyla,Bovidae,Addax,nasomaculatus,185,107000,Addax
Artiodactyla,Cervidae,Odocoileus,hemionus,189.3,58990,Mule Deer
Artiodactyla,Camelidae,Vicugna,vicugna,199.9,46215,Vicugna
Artiodactyla,Cervidae,Cervus,nippon,200,46000,Sika
Artiodactyla,Bovidae,Kobus,kob,204,117500,Kob
Artiodactyla,Bovidae,Ammotragus,lervia,209,110000,Barbary Sheep
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,215,81000,Pygmy Hippopotamus
Artiodactyla,Bovidae,Boselaphus,tragocamelus,271.75,125000,Nilgai
Artiodactyla,Bovidae,Oryx,beisa,282,175000,Beisa
Artiodactyla,Bovidae,Bos,grunniens,334,250000,Yak
Artiodactyla,Bovidae,Alcelaphus,lichtensteinii,357,165000,Lichtenstein's Hartebeest
Artiodactyla,Cervidae,Alces,americanus,407,272000,Moose
Artiodactyla,Cervidae,Alces,alces,436,2e+05,Elk
Artiodactyla,Giraffidae,Okapia,johnstoni,501,240000,Okapi
Artiodactyla,Camelidae,Camelus,bactrianus,575,4e+05,Bactrian Camel
Carnivora,Mustelidae,Mustela,erminea,4.57,156.43,Ermine
Carnivora,Mephitidae,Mephitis,mephitis,10.15,1980,Striped Skunk
Carnivora,Phocidae,Pusa,caspica,162.5,62750,Caspian Seal
Carnivora,Phocidae,Pusa,sibirica,187.5,89500,Baikal Seal
Carnivora,Phocidae,Pusa,hispida,196.25,69085,Ringed Seal
Carnivora,Phocidae,Histriophoca,fasciata,248.75,87580,Ribbon Seal
Carnivora,Phocidae,Phoca,largha,253.75,91500,Spotted Seal
Carnivora,Felidae,Panthera,tigris,269.73,195000,Tiger
Carnivora,Otariidae,Arctocephalus,galapagoensis,291.25,45950,Galapagos Fur Seal
Carnivora,Otariidae,Arctocephalus,australis,307.5,103750,Australian sea lion
Carnivora,Phocidae,Halichoerus,grypus,307.5,194000,Atlantic gray seal
Carnivora,Otariidae,Arctocephalus,forsteri,320,109690,Antipodean fur seal
Carnivora,Otariidae,Arctocephalus,tropicalis,326.25,101250,Amsterdam fur seal
Carnivora,Otariidae,Callorhinus,ursinus,334.83,150916.67,Northern Fur Seal
Carnivora,Ursidae,Ursus,arctos,335.97,131022.67,Brown Bear
Carnivora,Otariidae,Arctocephalus,gazella,340,96600,Antarctic Fur Seal
Carnivora,Otariidae,Arctocephalus,pusillus,369.38,178750,Brown Fur Seal
Carnivora,Otariidae,Neophoca,cinerea,388.75,189275,Australian Sealion
Carnivora,Otariidae,Phocarctos,hookeri,393.75,273500,Auckland sea lion
Carnivora,Phocidae,Cystophora,cristata,455,282840,Hooded Seal
Carnivora,Phocidae,Monachus,monachus,480,280500,Mediterranean Monk Seal
Carnivora,Phocidae,Ommatophoca,rossii,495,179400,Ross Seal
Carnivora,Otariidae,Otaria,flavescens,506.25,222000,South American Sealion
